id,market,base,quote,granularity,start,o,h,l,c,v
2930,1,2,1,DAILY,"2022-10-28 00:00:00",20597.340000000000000000000000000000,21080.000000000000000000000000000000,20561.200000000000000000000000000000,20823.530000000000000000000000000000,19822.751260220000000000000000000000
2931,1,2,1,DAILY,"2022-10-27 00:00:00",20295.770000000000000000000000000000,20755.090000000000000000000000000000,20000.000000000000000000000000000000,20597.910000000000000000000000000000,29581.751502260000000000000000000000
2932,1,2,1,DAILY,"2022-10-26 00:00:00",20773.590000000000000000000000000000,20878.170000000000000000000000000000,20196.010000000000000000000000000000,20296.970000000000000000000000000000,34123.582554690000000000000000000000
2933,1,2,1,DAILY,"2022-10-25 00:00:00",20086.270000000000000000000000000000,21022.810000000000000000000000000000,20055.850000000000000000000000000000,20775.400000000000000000000000000000,43618.991931500000000000000000000000
2934,1,2,1,DAILY,"2022-10-24 00:00:00",19332.110000000000000000000000000000,20420.880000000000000000000000000000,19240.760000000000000000000000000000,20086.280000000000000000000000000000,42452.337011680000000000000000000000
2935,1,2,1,DAILY,"2022-10-23 00:00:00",19572.200000000000000000000000000000,19603.570000000000000000000000000000,19159.350000000000000000000000000000,19330.410000000000000000000000000000,29432.583562930000000000000000000000
2936,1,2,1,DAILY,"2022-10-22 00:00:00",19209.090000000000000000000000000000,19698.100000000000000000000000000000,19070.920000000000000000000000000000,19572.440000000000000000000000000000,12086.311754120000000000000000000000
2937,1,2,1,DAILY,"2022-10-21 00:00:00",19164.920000000000000000000000000000,19257.660000000000000000000000000000,19110.460000000000000000000000000000,19209.100000000000000000000000000000,7044.990340280000000000000000000000
2938,1,2,1,DAILY,"2022-10-20 00:00:00",19043.660000000000000000000000000000,19254.520000000000000000000000000000,18659.000000000000000000000000000000,19166.450000000000000000000000000000,24206.360884540000000000000000000000
2939,1,2,1,DAILY,"2022-10-19 00:00:00",19123.770000000000000000000000000000,19349.040000000000000000000000000000,18905.000000000000000000000000000000,19042.480000000000000000000000000000,28405.755974300000000000000000000000
2940,1,2,1,DAILY,"2022-10-18 00:00:00",19328.750000000000000000000000000000,19361.000000000000000000000000000000,19062.100000000000000000000000000000,19124.180000000000000000000000000000,22284.132928080000000000000000000000
2941,1,2,1,DAILY,"2022-10-17 00:00:00",19550.390000000000000000000000000000,19702.730000000000000000000000000000,19091.770000000000000000000000000000,19328.760000000000000000000000000000,27645.597424780000000000000000000000
2942,1,2,1,DAILY,"2022-10-16 00:00:00",19261.620000000000000000000000000000,19679.460000000000000000000000000000,19154.720000000000000000000000000000,19550.400000000000000000000000000000,24137.124826960000000000000000000000
2943,1,2,1,DAILY,"2022-10-15 00:00:00",19070.620000000000000000000000000000,19425.490000000000000000000000000000,19065.230000000000000000000000000000,19264.440000000000000000000000000000,8310.928340830000000000000000000000
2944,1,2,1,DAILY,"2022-10-14 00:00:00",19179.150000000000000000000000000000,19229.120000000000000000000000000000,18983.000000000000000000000000000000,19070.240000000000000000000000000000,9062.828352750000000000000000000000
2945,1,2,1,DAILY,"2022-10-13 00:00:00",19375.550000000000000000000000000000,19954.140000000000000000000000000000,19076.830000000000000000000000000000,19178.000000000000000000000000000000,46208.332604440000000000000000000000
2946,1,2,1,DAILY,"2022-10-12 00:00:00",19153.970000000000000000000000000000,19509.230000000000000000000000000000,18131.000000000000000000000000000000,19378.650000000000000000000000000000,49160.496517620000000000000000000000
2947,1,2,1,DAILY,"2022-10-11 00:00:00",19058.420000000000000000000000000000,19235.260000000000000000000000000000,18971.510000000000000000000000000000,19155.920000000000000000000000000000,24862.653448250000000000000000000000
2948,1,2,1,DAILY,"2022-10-10 00:00:00",19130.800000000000000000000000000000,19265.690000000000000000000000000000,18855.190000000000000000000000000000,19058.110000000000000000000000000000,36248.019097630000000000000000000000
2949,1,2,1,DAILY,"2022-10-09 00:00:00",19442.700000000000000000000000000000,19528.040000000000000000000000000000,19028.080000000000000000000000000000,19132.830000000000000000000000000000,26596.568436380000000000000000000000
2950,1,2,1,DAILY,"2022-10-08 00:00:00",19421.490000000000000000000000000000,19563.280000000000000000000000000000,19321.000000000000000000000000000000,19443.470000000000000000000000000000,12537.637882650000000000000000000000
2951,1,2,1,DAILY,"2022-10-07 00:00:00",19531.680000000000000000000000000000,19628.780000000000000000000000000000,19250.000000000000000000000000000000,19419.390000000000000000000000000000,9745.254536300000000000000000000000
2952,1,2,1,DAILY,"2022-10-06 00:00:00",19963.750000000000000000000000000000,20065.260000000000000000000000000000,19325.000000000000000000000000000000,19533.050000000000000000000000000000,34938.972726770000000000000000000000
2953,1,2,1,DAILY,"2022-10-05 00:00:00",20162.150000000000000000000000000000,20455.790000000000000000000000000000,19855.190000000000000000000000000000,19965.640000000000000000000000000000,44044.436063050000000000000000000000
2954,1,2,1,DAILY,"2022-10-04 00:00:00",20345.270000000000000000000000000000,20371.150000000000000000000000000000,19750.000000000000000000000000000000,20161.620000000000000000000000000000,33542.207361490000000000000000000000
2955,1,2,1,DAILY,"2022-10-03 00:00:00",19632.430000000000000000000000000000,20479.430000000000000000000000000000,19495.320000000000000000000000000000,20345.190000000000000000000000000000,32685.416371250000000000000000000000
2956,1,2,1,DAILY,"2022-10-02 00:00:00",19059.100000000000000000000000000000,19717.670000000000000000000000000000,18958.290000000000000000000000000000,19633.460000000000000000000000000000,28571.640186770000000000000000000000
2957,1,2,1,DAILY,"2022-10-01 00:00:00",19315.260000000000000000000000000000,19398.940000000000000000000000000000,18923.810000000000000000000000000000,19059.170000000000000000000000000000,12951.424044650000000000000000000000
2958,1,2,1,DAILY,"2022-09-30 00:00:00",19423.570000000000000000000000000000,19486.430000000000000000000000000000,19160.000000000000000000000000000000,19315.270000000000000000000000000000,7337.455955660000000000000000000000
2959,1,2,1,DAILY,"2022-09-29 00:00:00",19595.590000000000000000000000000000,20182.720000000000000000000000000000,19154.380000000000000000000000000000,19426.110000000000000000000000000000,34243.663929230000000000000000000000
2960,1,2,1,DAILY,"2022-09-28 00:00:00",19412.370000000000000000000000000000,19646.660000000000000000000000000000,18845.300000000000000000000000000000,19595.570000000000000000000000000000,34783.537370850000000000000000000000
2961,1,2,1,DAILY,"2022-09-27 00:00:00",19077.560000000000000000000000000000,19773.670000000000000000000000000000,18487.000000000000000000000000000000,19412.070000000000000000000000000000,43710.304671970000000000000000000000
2962,1,2,1,DAILY,"2022-09-26 00:00:00",19226.940000000000000000000000000000,20383.150000000000000000000000000000,18821.550000000000000000000000000000,19077.570000000000000000000000000000,51860.030041140000000000000000000000
2963,1,2,1,DAILY,"2022-09-25 00:00:00",18806.300000000000000000000000000000,19320.860000000000000000000000000000,18681.020000000000000000000000000000,19228.000000000000000000000000000000,33108.054457150000000000000000000000
2964,1,2,1,DAILY,"2022-09-24 00:00:00",18920.930000000000000000000000000000,19184.300000000000000000000000000000,18619.880000000000000000000000000000,18808.610000000000000000000000000000,14499.163205370000000000000000000000
2965,1,2,1,DAILY,"2022-09-23 00:00:00",19286.030000000000000000000000000000,19311.400000000000000000000000000000,18808.130000000000000000000000000000,18923.200000000000000000000000000000,17644.761698410000000000000000000000
2966,1,2,1,DAILY,"2022-09-22 00:00:00",19399.930000000000000000000000000000,19500.000000000000000000000000000000,18529.000000000000000000000000000000,19286.010000000000000000000000000000,30781.382496940000000000000000000000
2967,1,2,1,DAILY,"2022-09-21 00:00:00",18462.660000000000000000000000000000,19521.800000000000000000000000000000,18358.630000000000000000000000000000,19401.250000000000000000000000000000,41006.952126650000000000000000000000
2968,1,2,1,DAILY,"2022-09-20 00:00:00",18876.140000000000000000000000000000,19949.970000000000000000000000000000,18153.130000000000000000000000000000,18462.640000000000000000000000000000,44344.462824240000000000000000000000
2969,1,2,1,DAILY,"2022-09-19 00:00:00",19538.310000000000000000000000000000,19638.460000000000000000000000000000,18722.000000000000000000000000000000,18876.910000000000000000000000000000,27437.233613580000000000000000000000
2970,1,2,1,DAILY,"2022-09-18 00:00:00",19417.560000000000000000000000000000,19689.620000000000000000000000000000,18255.000000000000000000000000000000,19540.380000000000000000000000000000,30961.446331500000000000000000000000
2971,1,2,1,DAILY,"2022-09-17 00:00:00",20113.370000000000000000000000000000,20119.080000000000000000000000000000,19335.570000000000000000000000000000,19417.640000000000000000000000000000,16437.906687570000000000000000000000
2972,1,2,1,DAILY,"2022-09-16 00:00:00",19800.260000000000000000000000000000,20183.140000000000000000000000000000,19748.890000000000000000000000000000,20113.370000000000000000000000000000,11557.147243410000000000000000000000
2973,1,2,1,DAILY,"2022-09-15 00:00:00",19703.650000000000000000000000000000,19890.950000000000000000000000000000,19305.000000000000000000000000000000,19801.040000000000000000000000000000,24863.814925560000000000000000000000
2974,1,2,1,DAILY,"2022-09-14 00:00:00",20227.700000000000000000000000000000,20336.420000000000000000000000000000,19500.000000000000000000000000000000,19703.670000000000000000000000000000,21124.303843670000000000000000000000
2975,1,2,1,DAILY,"2022-09-13 00:00:00",20174.780000000000000000000000000000,20545.000000000000000000000000000000,19625.000000000000000000000000000000,20227.770000000000000000000000000000,25139.527344160000000000000000000000
2976,1,2,1,DAILY,"2022-09-12 00:00:00",22402.580000000000000000000000000000,22800.000000000000000000000000000000,19855.000000000000000000000000000000,20174.780000000000000000000000000000,37351.560149390000000000000000000000
2977,1,2,1,DAILY,"2022-09-11 00:00:00",21830.160000000000000000000000000000,22490.050000000000000000000000000000,21555.000000000000000000000000000000,22402.710000000000000000000000000000,28404.494699550000000000000000000000
2978,1,2,1,DAILY,"2022-09-10 00:00:00",21656.030000000000000000000000000000,21865.660000000000000000000000000000,21356.370000000000000000000000000000,21831.720000000000000000000000000000,14386.633405280000000000000000000000
2979,1,2,1,DAILY,"2022-09-09 00:00:00",21366.610000000000000000000000000000,21815.150000000000000000000000000000,21127.100000000000000000000000000000,21651.520000000000000000000000000000,17750.760033760000000000000000000000
2980,1,2,1,DAILY,"2022-09-08 00:00:00",19322.560000000000000000000000000000,21616.210000000000000000000000000000,19294.490000000000000000000000000000,21364.500000000000000000000000000000,39579.812081180000000000000000000000
2981,1,2,1,DAILY,"2022-09-07 00:00:00",19293.030000000000000000000000000000,19460.700000000000000000000000000000,19014.430000000000000000000000000000,19321.870000000000000000000000000000,20327.616141650000000000000000000000
2982,1,2,1,DAILY,"2022-09-06 00:00:00",18790.770000000000000000000000000000,19466.090000000000000000000000000000,18527.000000000000000000000000000000,19293.520000000000000000000000000000,25583.399159640000000000000000000000
2983,1,2,1,DAILY,"2022-09-05 00:00:00",19794.590000000000000000000000000000,20179.860000000000000000000000000000,18663.250000000000000000000000000000,18790.910000000000000000000000000000,34029.111269550000000000000000000000
2984,1,2,1,DAILY,"2022-09-04 00:00:00",20003.850000000000000000000000000000,20060.000000000000000000000000000000,19633.110000000000000000000000000000,19794.580000000000000000000000000000,13935.113855550000000000000000000000
2985,1,2,1,DAILY,"2022-09-03 00:00:00",19833.590000000000000000000000000000,20026.200000000000000000000000000000,19588.270000000000000000000000000000,20004.730000000000000000000000000000,10670.607665590000000000000000000000
2986,1,2,1,DAILY,"2022-09-02 00:00:00",19953.400000000000000000000000000000,20053.900000000000000000000000000000,19655.000000000000000000000000000000,19835.470000000000000000000000000000,9538.498116750000000000000000000000
2987,1,2,1,DAILY,"2022-09-01 00:00:00",20132.670000000000000000000000000000,20444.000000000000000000000000000000,19755.000000000000000000000000000000,19953.740000000000000000000000000000,19929.545903050000000000000000000000
2988,1,2,1,DAILY,"2022-08-31 00:00:00",20048.270000000000000000000000000000,20205.530000000000000000000000000000,19561.010000000000000000000000000000,20133.650000000000000000000000000000,23858.648626020000000000000000000000
2989,1,2,1,DAILY,"2022-08-30 00:00:00",19813.970000000000000000000000000000,20489.000000000000000000000000000000,19799.970000000000000000000000000000,20048.260000000000000000000000000000,36587.603235350000000000000000000000
2990,1,2,1,DAILY,"2022-08-29 00:00:00",20286.950000000000000000000000000000,20582.640000000000000000000000000000,19540.140000000000000000000000000000,19813.170000000000000000000000000000,46462.279386220000000000000000000000
2991,1,2,1,DAILY,"2022-08-28 00:00:00",19552.310000000000000000000000000000,20427.190000000000000000000000000000,19545.570000000000000000000000000000,20286.970000000000000000000000000000,33436.356521830000000000000000000000
2992,1,2,1,DAILY,"2022-08-27 00:00:00",20035.300000000000000000000000000000,20164.260000000000000000000000000000,19513.740000000000000000000000000000,19554.030000000000000000000000000000,17117.319127370000000000000000000000
2993,1,2,1,DAILY,"2022-08-26 00:00:00",20240.630000000000000000000000000000,20389.140000000000000000000000000000,19800.000000000000000000000000000000,20036.690000000000000000000000000000,22160.979381250000000000000000000000
2994,1,2,1,DAILY,"2022-08-25 00:00:00",21561.490000000000000000000000000000,21878.050000000000000000000000000000,20112.780000000000000000000000000000,20240.720000000000000000000000000000,37169.026395680000000000000000000000
2995,1,2,1,DAILY,"2022-08-24 00:00:00",21367.120000000000000000000000000000,21818.320000000000000000000000000000,21307.320000000000000000000000000000,21561.860000000000000000000000000000,17065.283504400000000000000000000000
2996,1,2,1,DAILY,"2022-08-23 00:00:00",21526.740000000000000000000000000000,21925.000000000000000000000000000000,21147.410000000000000000000000000000,21367.120000000000000000000000000000,22538.913856710000000000000000000000
2997,1,2,1,DAILY,"2022-08-22 00:00:00",21396.370000000000000000000000000000,21679.520000000000000000000000000000,20889.690000000000000000000000000000,21528.340000000000000000000000000000,22744.050962650000000000000000000000
2998,1,2,1,DAILY,"2022-08-21 00:00:00",21514.450000000000000000000000000000,21540.000000000000000000000000000000,20889.690000000000000000000000000000,21398.250000000000000000000000000000,26215.936824690000000000000000000000
2999,1,2,1,DAILY,"2022-08-20 00:00:00",21139.220000000000000000000000000000,21795.080000000000000000000000000000,21067.330000000000000000000000000000,21518.620000000000000000000000000000,16024.821283360000000000000000000000
3000,1,2,1,DAILY,"2021-10-23 00:00:00",61300.020000000000000000000000000000,61491.960000000000000000000000000000,59522.890000000000000000000000000000,60854.480000000000000000000000000000,8573.727191990000000000000000000000
3001,1,2,1,DAILY,"2021-10-22 00:00:00",60682.880000000000000000000000000000,61750.000000000000000000000000000000,59650.000000000000000000000000000000,61300.010000000000000000000000000000,6708.150138020000000000000000000000
3002,1,2,1,DAILY,"2021-10-21 00:00:00",62204.010000000000000000000000000000,63750.000000000000000000000000000000,60000.000000000000000000000000000000,60687.640000000000000000000000000000,17217.707650170000000000000000000000
3003,1,2,1,DAILY,"2021-10-20 00:00:00",66021.260000000000000000000000000000,66650.850000000000000000000000000000,62050.000000000000000000000000000000,62204.020000000000000000000000000000,23474.391333130000000000000000000000
3004,1,2,1,DAILY,"2021-10-19 00:00:00",64303.140000000000000000000000000000,66999.000000000000000000000000000000,63525.000000000000000000000000000000,66026.540000000000000000000000000000,19194.454108780000000000000000000000
3005,1,2,1,DAILY,"2021-10-18 00:00:00",62042.400000000000000000000000000000,64500.000000000000000000000000000000,61333.000000000000000000000000000000,64303.140000000000000000000000000000,17380.304861760000000000000000000000
3006,1,2,1,DAILY,"2021-10-17 00:00:00",61530.070000000000000000000000000000,62675.190000000000000000000000000000,59887.740000000000000000000000000000,62042.410000000000000000000000000000,19798.148902400000000000000000000000
3007,1,2,1,DAILY,"2021-10-16 00:00:00",60867.050000000000000000000000000000,61744.170000000000000000000000000000,58943.830000000000000000000000000000,61527.110000000000000000000000000000,9153.322734710000000000000000000000
3008,1,2,1,DAILY,"2021-10-15 00:00:00",61690.320000000000000000000000000000,62350.000000000000000000000000000000,60139.010000000000000000000000000000,60877.420000000000000000000000000000,10161.258198250000000000000000000000
3009,1,2,1,DAILY,"2021-10-14 00:00:00",57359.510000000000000000000000000000,62910.000000000000000000000000000000,56867.110000000000000000000000000000,61695.390000000000000000000000000000,27105.197644920000000000000000000000
3010,1,2,1,DAILY,"2021-10-13 00:00:00",57367.320000000000000000000000000000,58520.710000000000000000000000000000,56832.320000000000000000000000000000,57359.510000000000000000000000000000,12198.024579380000000000000000000000
3011,1,2,1,DAILY,"2021-10-12 00:00:00",56005.100000000000000000000000000000,57771.330000000000000000000000000000,54236.090000000000000000000000000000,57367.320000000000000000000000000000,14691.013385740000000000000000000000
3012,1,2,1,DAILY,"2021-10-11 00:00:00",57485.970000000000000000000000000000,57674.550000000000000000000000000000,53873.780000000000000000000000000000,56005.100000000000000000000000000000,15457.008960850000000000000000000000
